id,districts_id:id,name
c_65,d_2,Gnanikulama
c_66,d_2,Gonahaddenawa
c_67,d_2,Habarana
c_68,d_2,Halmillawa Dambulla
c_69,d_2,Halmillawetiya
c_70,d_2,Hidogama
c_71,d_2,Horawpatana
c_72,d_2,Horiwila
c_73,d_2,Hurigaswewa
c_74,d_2,Hurulunikawewa
c_75,d_2,Ihala Puliyankulama
c_76,d_2,Kagama
c_77,d_2,Kahatagasdigiliya
c_78,d_2,Kahatagollewa
c_79,d_2,Kalakarambewa
c_80,d_2,Kalaoya
c_81,d_2,Kalawedi Ulpotha
c_82,d_2,Kallanchiya
c_83,d_2,Kalpitiya
c_84,d_2,Kalukele Badanagala
c_85,d_2,Kapugallawa
c_86,d_2,Karagahawewa
c_87,d_2,Kashyapapura
c_88,d_2,Kebithigollewa
c_89,d_2,Kekirawa
c_90,d_2,Kendewa
c_91,d_2,Kiralogama
c_92,d_2,Kirigalwewa
c_93,d_2,Kirimundalama
c_94,d_2,Kitulhitiyawa
c_95,d_2,Kurundankulama
c_96,d_2,Labunoruwa
c_97,d_2,Ihalagama
c_98,d_2,Ipologama
c_99,d_2,Madatugama
c_100,d_2,Maha Elagamuwa
c_101,d_2,Mahabulankulama
c_102,d_2,Mahailluppallama
c_103,d_2,Mahakanadarawa
c_104,d_2,Mahapothana
c_105,d_2,Mahasenpura
c_106,d_2,Mahawilachchiya
c_107,d_2,Mailagaswewa
c_108,d_2,Malwanagama
c_109,d_2,Maneruwa
c_110,d_2,Maradankadawala
c_111,d_2,Maradankalla
c_112,d_2,Medawachchiya
c_113,d_2,Megodawewa
c_114,d_2,Mihintale
c_115,d_2,Morakewa
c_116,d_2,Mulkiriyawa
c_117,d_2,Muriyakadawala
c_118,d_5,Colombo 15
c_119,d_2,Nachchaduwa
c_120,d_2,Namalpura
c_121,d_2,Negampaha
c_122,d_2,Nochchiyagama
c_123,d_2,Nuwaragala
c_124,d_2,Padavi Maithripura
c_125,d_2,Padavi Parakramapura
c_126,d_2,Padavi Sripura
c_127,d_2,Padavi Sritissapura
c_128,d_2,Padaviya
c_129,d_2,Padikaramaduwa
c_130,d_2,Pahala Halmillewa
c_131,d_2,Pahala Maragahawe
c_132,d_2,Pahalagama
c_133,d_2,Palugaswewa
c_134,d_2,Pandukabayapura
c_135,d_2,Pandulagama
c_136,d_2,Parakumpura
c_137,d_2,Parangiyawadiya
c_138,d_2,Parasangahawewa
c_139,d_2,Pelatiyawa
c_140,d_2,Pemaduwa
c_141,d_2,Perimiyankulama
c_142,d_2,Pihimbiyagolewa
c_143,d_2,Pubbogama
c_144,d_2,Punewa
c_145,d_2,Rajanganaya
c_146,d_2,Rambewa
c_147,d_2,Rampathwila
c_148,d_2,Rathmalgahawewa
c_149,d_2,Saliyapura
c_150,d_2,Seeppukulama
c_151,d_2,Senapura
c_152,d_2,Sivalakulama
c_153,d_2,Siyambalewa
c_154,d_2,Sravasthipura
c_155,d_2,Talawa
c_156,d_2,Tambuttegama
c_157,d_2,Tammennawa
c_158,d_2,Tantirimale
c_159,d_2,Telhiriyawa
c_160,d_2,Tirappane
c_161,d_2,Tittagonewa
c_162,d_2,Udunuwara Colony
c_163,d_2,Upuldeniya
c_164,d_2,Uttimaduwa
c_165,d_2,Vellamanal
c_166,d_2,Viharapalugama
c_167,d_2,Wahalkada
c_168,d_2,Wahamalgollewa
c_169,d_2,Walagambahuwa
c_170,d_2,Walahaviddawewa
c_171,d_2,Welimuwapotana
c_172,d_2,Welioya Project
c_173,d_3,Akkarasiyaya
c_174,d_3,Aluketiyawa
c_175,d_3,Aluttaramma
c_176,d_3,Ambadandegama
c_177,d_3,Ambagasdowa
c_178,d_3,Arawa
c_179,d_3,Arawakumbura
c_180,d_3,Arawatta
c_181,d_3,Atakiriya
c_182,d_3,Badulla
c_183,d_3,Baduluoya
c_184,d_3,Ballaketuwa
c_185,d_3,Bambarapana
c_186,d_3,Bandarawela
c_187,d_3,Beramada
c_188,d_3,Bibilegama
c_189,d_3,Boragas
c_190,d_3,Boralanda
c_191,d_3,Bowela
c_192,d_3,Central Camp
c_193,d_3,Damanewela
c_194,d_3,Dambana
c_195,d_3,Dehiattakandiya
c_196,d_3,Demodara
c_197,d_3,Diganatenna
c_198,d_3,Dikkapitiya
c_199,d_3,Dimbulana
c_200,d_3,Divulapelessa
c_201,d_3,Diyatalawa
c_202,d_3,Dulgolla
c_203,d_3,Ekiriyankumbura
c_204,d_3,Ella
c_205,d_3,Ettampitiya
c_206,d_3,Galauda
c_207,d_3,Galporuyaya
c_208,d_3,Gawarawela
c_209,d_3,Girandurukotte
c_210,d_3,Godunna
c_211,d_3,Gurutalawa
c_212,d_3,Haldummulla
c_213,d_3,Hali Ela
c_214,d_3,Hangunnawa
c_215,d_3,Haputale
c_216,d_3,Hebarawa
c_217,d_3,Heeloya
c_218,d_3,Helahalpe
c_219,d_3,Helapupula
c_220,d_3,Hopton
c_221,d_3,Idalgashinna
c_222,d_3,Kahataruppa
c_223,d_3,Kalugahakandura
c_224,d_3,Kalupahana
c_225,d_3,Kebillawela
c_226,d_3,Kendagolla
c_227,d_3,Keselpotha
c_228,d_3,Ketawatta
c_229,d_3,Kiriwanagama
c_230,d_3,Koslanda
c_231,d_3,Kuruwitenna
c_232,d_3,Kuttiyagolla
c_233,d_3,Landewela
c_234,d_3,Liyangahawela
c_235,d_3,Lunugala
